# Station Soma
# Location (Grid) 74,696
time,height,momentumX,momentumY
598.841,19.8443,1.05884,-0.240578
600.26,19.8437,1.06017,-0.24094
601.679,19.8431,1.06149,-0.241302
603.098,19.8425,1.06282,-0.241663
604.517,19.8419,1.06414,-0.242023
605.937,19.8413,1.06546,-0.242383
607.356,19.8407,1.06678,-0.242743
608.775,19.8401,1.0681,-0.243102
610.194,19.8395,1.06942,-0.24346
611.613,19.8389,1.07073,-0.243818
613.032,19.8383,1.07205,-0.244176
614.451,19.8377,1.07336,-0.244533
615.87,19.8371,1.07467,-0.244889
617.289,19.8365,1.07599,-0.245245
618.708,19.8359,1.07729,-0.2456
620.127,19.8353,1.0786,-0.245954
621.546,19.8346,1.07991,-0.246309
622.965,19.834,1.08121,-0.246662
624.384,19.8334,1.08252,-0.247015
625.803,19.8328,1.08382,-0.247367
627.222,19.8322,1.08512,-0.247719
628.641,19.8316,1.08642,-0.24807
630.06,19.8309,1.08772,-0.248421
631.48,19.8303,1.08902,-0.248771
632.899,19.8297,1.09032,-0.249121
634.318,19.8291,1.09161,-0.24947
635.737,19.8285,1.09291,-0.249819
637.156,19.8279,1.0942,-0.250168
638.575,19.8272,1.09549,-0.250516
639.994,19.8266,1.09678,-0.250863
641.413,19.826,1.09807,-0.251211
642.832,19.8254,1.09936,-0.251557
644.251,19.8247,1.10064,-0.251904
645.67,19.8241,1.10193,-0.25225
647.089,19.8235,1.10322,-0.252595
648.508,19.8229,1.1045,-0.25294
649.927,19.8222,1.10578,-0.253285
651.346,19.8216,1.10706,-0.25363
652.765,19.821,1.10834,-0.253973
654.184,19.8204,1.10962,-0.254316
655.603,19.8197,1.1109,-0.254659
657.023,19.8191,1.11218,-0.255002
658.442,19.8185,1.11345,-0.255345
659.861,19.8179,1.11473,-0.255687
661.28,19.8172,1.116,-0.256029
662.699,19.8166,1.11727,-0.256371
664.118,19.816,1.11854,-0.256712
665.537,19.8153,1.11982,-0.257054
666.956,19.8147,1.12109,-0.257395
668.375,19.8141,1.12235,-0.257736
669.794,19.8134,1.12362,-0.258076
671.213,19.8128,1.12489,-0.258417
672.632,19.8122,1.12615,-0.258758
